rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
116,"spotify:track:012iHyRvQQquWQGUTYvDxy","CRO, badchieff","Fall Auf","Urban",41,41,2,"620921"
117,"spotify:track:1vZqDXhvyXAwSM8V6MU0N5","CÉLINE","Tränen aus Kajal","BTGS / A Million / Groove Attack",14,119,21,"619970"
118,"spotify:track:7qwWwsa6otLM0UOEamls4s","The Cratez, Bausa, Maxwell, Joshi Mizu","Skifahren (feat. Joshi Mizu)","GOLD LEAGUE/RBK",3,129,41,"610534"
119,"spotify:track:0EhpEsp4L0oRGM0vmeaN5e","J Balvin, Dua Lipa, Bad Bunny, Tainy","UN DIA (ONE DAY) (Feat. Tainy)","Universal Music Latino/ NEON16",87,87,5,"608245"
120,"spotify:track:4tfLFDGypUWad5AT6772If","Michael Patrick Kelly","Beautiful Madness","Columbia Local",101,115,9,"607009"
121,"spotify:track:2tnVG71enUj33Ic2nFN6kZ","Regard","Ride It","Ministry of Sound Recordings",12,113,54,"604619"
122,"spotify:track:1ueWZubKpdTGEz3AzgefB5","Juju","Vertrau mir","JINX Music",7,105,6,"604568"
123,"spotify:track:3EmCRdONSwuGJJJWPghRjd","Apache 207","Auf und Ab","Four Music/Two Sides",17,83,4,"597441"
124,"spotify:track:3IJYUaN3tx04S4TYyZHKoP","StaySolidRocky","Party Girl","Columbia",49,130,14,"595036"
125,"spotify:track:7tUTCcqkMCnC9qLqbQeI0T","Felix Jaehn, Nea, Bryn Christopher","No Therapy","Virgin",125,-1,1,"589835"
126,"spotify:track:63M95y0DbPfsXNYbs8nzOU","AK AUSSERKONTROLLE, Sonus030","Kristall 2","XY Records",38,116,3,"589502"
127,"spotify:track:20opc3dykV1sSxVwaGLUMc","KAYEF","Warum","Kayef Media",117,117,3,"584020"
128,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",15,118,27,"583453"
129,"spotify:track:4w47S36wQGBhGg073q3nt7","ROSALÍA, Travis Scott","TKN (feat. Travis Scott)","Columbia",44,107,13,"580522"
130,"spotify:track:1IIKrJVP1C9N7iPtG6eOsK","Chris Brown, Young Thug","Go Crazy","Chris Brown Entertainment/300 Entertainment/RCA Records",130,138,6,"578635"
131,"spotify:track:61ZM92T2zaXIVsqncThQzC","Robin Schulz, Alida","In Your Eyes (feat. Alida)","WM Germany",12,128,33,"572600"
132,"spotify:track:7vgv8KZBSo0TPzyIWG9yzV","Ava Max","Salt","Atlantic Records",12,127,28,"568229"
133,"spotify:track:4zLSkwZaiMfzzapPCbdG90","GAMPER & DADONI","Gimme! Gimme! Gimme!","Big Top Amsterdam",52,114,26,"566869"
134,"spotify:track:6TL7b76AWgto4ulxoUB3qB","Apache 207","Nie verstehen","Four Music/Two Sides",15,84,4,"566003"
135,"spotify:track:2MbdDtCv5LUVjYy9RuGTgC","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Generation Now/Atlantic",96,124,9,"565272"
136,"spotify:track:79s5XnCN4TJKTVMSmOx8Ep","Pop Smoke","Dior","Victor Victor Worldwide/Republic Records",80,143,27,"565084"
137,"spotify:track:2u8AXJyk8pICzj2wyPBL0b","Sido, Apache 207","2002","Urban",5,131,48,"563582"
138,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",27,149,86,"561884"
139,"spotify:track:1IikW5aCjY08gagX94j3fJ","Pashanim","Hauseingang","Urban",40,141,36,"558318"
140,"spotify:track:1V7JaMp11LKGwKiVmSetf0","Joker Bra, VIZE","Baby","Bra Musik",1,151,30,"557369"
141,"spotify:track:7ju97lgwC2rKQ6wwsf9no9","Lady Gaga, Ariana Grande","Rain On Me (with Ariana Grande)","Interscope",21,123,14,"556555"
142,"spotify:track:34FbkFgAbv4ffvhL2XQMVm","Aya Nakamura","Jolie nana","Rec. 118",142,163,3,"551837"
143,"spotify:track:7v8OynJxOxHoeS5C2UA9Y7","Capital Bra, Loredana","Nicht verdient","URBAN",1,139,18,"549930"
144,"spotify:track:1lht8jb3c6rEiVaqX94enH","Jerome","Light","Kontor Records",33,159,46,"545688"
145,"spotify:track:4NhDYoQTYCdWHTvlbGVgwo","6ix9ine","GOOBA","Create Music Group",3,132,16,"544990"
146,"spotify:track:7AAt2NDyAnv2Ni2decYxgh","CRISPIE, ILIRA","Ladida (My Heart Goes Boom)","JINX Music",104,121,7,"542556"
147,"spotify:track:0CflhdVVA63j3oxaqNSUzC","Apache 207","Matrix","Four Music/Two Sides",1,108,27,"536541"
148,"spotify:track:0DRBQsCUcl3H3NTRPxXsU2","Apache 207","Beifahrersitz","Four Music/Two Sides",14,93,4,"532506"
149,"spotify:track:4nK5YrxbMGZstTLbvj6Gxw","BENEE, Gus Dapperton","Supalonely","Republic Records",26,111,25,"531889"
150,"spotify:track:285pBltuF7vW8TeWk8hdRR","Juice WRLD","Lucid Dreams","Juice WRLD Mixtape / ISR P&D",28,165,81,"529598"
151,"spotify:track:3eekarcy7kvN4yt5ZFzltW","Travis Scott","HIGHEST IN THE ROOM","Cactus Jack / Epic",8,158,47,"529454"
152,"spotify:track:0dZpw3h6KZhcHec61qwevZ","Conkarah, Shaggy, DJ Fle","Banana (feat. Shaggy) - DJ FLe - Minisiren Remix","S-Curve Records",68,110,11,"521850"
153,"spotify:track:0X4hMHBj4Ra6h1tIQGl1CH","Tom Gregory","Fingertips","Kontor Records",36,153,25,"520938"
154,"spotify:track:5ZtRzAXZG81zaFY2DRwAgk","TJ_beastboy","1000x COOLER","Space Music Records",71,-1,13,"520371"
155,"spotify:track:6gBFPUFcJLzWGx4lenP6h2","Travis Scott","goosebumps","Epic/Grand Hustle",40,166,27,"519077"
156,"spotify:track:1eNyHqFFfC3NrRmXQCn83K","Luciano","Nacht zu kurz","Urban",4,134,8,"517003"
157,"spotify:track:0psIeufUtT83Ot2dkLjQ0v","LEA","Treppenhaus","Four Music/Treppenhaus Records",29,155,25,"516610"
158,"spotify:track:66W1rVTnEv86dIkFhoiElg","Regard, RAYE","Secrets","Ministry of Sound Recordings",125,140,11,"516179"
159,"spotify:track:20McUFi8KCIVdNDLrkTDuZ","HVME","Goosebumps","Columbia/B1 Recordings",159,160,6,"514823"
160,"spotify:track:4jdlr0mYocj2urBzkB3Ppi","AK AUSSERKONTROLLE","Lau Lau Lau","XY Records",160,-1,1,"514760"
161,"spotify:track:1Tqshmc0rnQPaIGJfRp2Da","Dennis Lloyd","Alien","Arista Records",161,-1,1,"514602"
162,"spotify:track:0gThlZWwZWkDqRKGOz2CN1","Symba","Angels Sippen","SME - Symba",9,152,22,"514406"
163,"spotify:track:54gTCcmd5XwXNamM866fpO","Iggy, Sido","alien","Columbia Local",163,-1,1,"513294"
164,"spotify:track:4UZXAa8mWRr2rSWUDPPXhV","TJ_beastboy","$W4G","Space Music Records",164,-1,1,"512403"
165,"spotify:track:5zDEsfsz5Ih3EKqYFbWGWy","CÉLINE","Blue Jeans","BTGS / A Million / Groove Attack",38,164,5,"496295"
166,"spotify:track:4PP0u2Fhzg8NnPW3EZGw2v","Dardan, Monet192","H <3 T E L","Hypnotize Entertainment",1,150,23,"486422"
167,"spotify:track:0YU17F0BlVXvmx5ytsR43w","LUM!X, Gabry Ponte","Monster","Spinnin' Records",34,172,63,"483150"
168,"spotify:track:5duf2NsABczC5cHAe0zwLn","Ra'is","Hayat","Groove Attack TraX",47,142,11,"482635"
169,"spotify:track:0H9WHopZ62JeDaGau7REMw","Pashanim","Shababs botten","Urban",71,170,41,"478936"
170,"spotify:track:6EDO9iiTtwNv6waLwa1UUq","DJ Khaled, Drake","POPSTAR (feat. Drake)","OVO/We The Best/Epic",35,135,6,"478000"
171,"spotify:track:5ckJTMslZlKOsTqWBscFDs","Sero El Mero","Ein Mann ein Wort","Groove Attack TraX",171,-1,1,"473381"
172,"spotify:track:22LAwLoDA5b4AaGSkg6bKW","Lil Mosey","Blueberry Faygo","Mogul Vision/Interscope Records",23,174,28,"473323"
173,"spotify:track:4UOXo3xWnxYdTf3sFyRaUG","Bonez MC, RAF Camora","500 PS","187 Strassenbande",1,171,108,"473119"
174,"spotify:track:2rxxXYtTIFKyrhJpofeoIX","KC Rebell, Summer Cem, Luciano","VALLA NEIN (feat. Luciano)","Banger Musik II/WM Germany",2,156,12,"472497"
175,"spotify:track:3yFmG1luaLjuHWI6BGmwxJ","KC Rebell, Summer Cem, Loredana","GEH DEIN WEG (feat. Loredana)","Banger Musik II/WM Germany",4,109,7,"468181"
176,"spotify:track:6pQb1eFwDLM3B3L6yySpGk","TheDoDo","Endorphine","pbb",102,180,13,"463311"
177,"spotify:track:0oPp18ynh36TSeWTlSNSUF","TJ_beastboy","PULL UP","Space Music Records",177,-1,1,"461812"
178,"spotify:track:2bzgAJEXvU0mmKlRejqWfY","TJ_beastboy","Alarm Code Red","Space Music Records",178,-1,1,"461679"
179,"spotify:track:2gMXnyrvIjhVBUZwvLZDMP","Lewis Capaldi","Before You Go","Vertigo Berlin",52,191,37,"461471"
180,"spotify:track:2vDxrqUKTkgSxn7x3JYms9","Felix Jaehn, GASHI, FAANGS","SICKO","Virgin",55,161,20,"457339"
181,"spotify:track:2rRJrJEo19S2J82BDsQ3F7","Trevor Daniel","Falling","Alamo",8,186,40,"454409"
182,"spotify:track:0Dlcu2fgHklOnajVu2dUNU","Capital Bra, Samra","Tilidin","Urban",1,181,62,"451950"
183,"spotify:track:6N22FZs2ZhPBYi3b9XPajV","Labrinth","Still Don't Know My Name","Masterworks",183,-1,1,"450558"
184,"spotify:track:0nbXyq5TXYPCO7pr3N8S4I","Roddy Ricch","The Box","Atlantic Records",11,183,35,"448214"
185,"spotify:track:5id3Rqn7SPj1LX4FfY4nGz","Sia","Together","Monkey Puzzle/Atlantic",185,188,5,"447600"
186,"spotify:track:1aBi2cwSWOaYz0kC0P27ok","Harris & Ford, FiNCH","Nachbarn","Kontor Records",78,169,4,"447143"
187,"spotify:track:2RaKlveGCllSaXloN8kmzV","RIN","Alien","GOLD LEAGUE/DIVISION",7,187,38,"446160"
188,"spotify:track:20rTzps5LFpeylWrzM84zS","Samra","BaeBae","Urban",1,176,20,"446145"
189,"spotify:track:7yJLc4dA0VObbLE88lZZ5q","Samra","Miskin","Urban",8,154,6,"443612"
190,"spotify:track:05Mp2UJulSttxQ4E6hQPH3","Bonez MC, RAF Camora, Maxwell","Ohne mein Team","AUF!KEINEN!FALL!",9,189,177,"439765"
191,"spotify:track:2MlOUXmcofMackX3bxfSwi","Master KG, Nomcebo Zikode","Jerusalema (feat. Nomcebo Zikode)","Elektra France",191,-1,1,"436266"
192,"spotify:track:3VXJy5nUYOuOw4nXsAIHrH","Apache 207","Stimmen","Four Music/Two Sides",20,125,4,"435106"
193,"spotify:track:6dNB3XdAzx7kTf5wa8Rg89","Apache 207","Wieso tust Du dir das an?","Four Music/Two Sides",1,184,45,"432991"
194,"spotify:track:2Fxmhks0bxGSBdJ92vM42m","Billie Eilish","bad guy","Darkroom/Interscope Records",3,-1,72,"432598"
195,"spotify:track:1hoLUVBx0ixX3kn0EX0P5n","Juju, Loredana, Miksu / Macloud","Kein Wort","JINX Music",1,-1,30,"432077"
196,"spotify:track:79U3Tcew2svAEJTnpEVwvL","FOURTY","VOR DER TÜR","Life Is Pain",65,65,2,"431983"
197,"spotify:track:2cLHnxLRLpIGgRnFRChnpr","BHZ, Longus Mongus, Monk, Dead Dawg","Flasche Luft","Sony Music/BHZ",42,200,19,"431500"
198,"spotify:track:2immYCdHEUsU7yomneFMcr","AK AUSSERKONTROLLE, Kontra K","Reich oder tot","XY Records",198,-1,1,"431141"
199,"spotify:track:51wGV0XqkWMXPDMICKUyti","AK AUSSERKONTROLLE, Farid Bang, 18 Karat","Drück","XY Records",199,-1,1,"430817"
200,"spotify:track:0E9ZjEAyAwOXZ7wJC0PD33","Dynoro, Gigi D'Agostino","In My Mind","Columbia/B1 Recordings",1,196,120,"430781"
